DeviceName	Port	VLanID	AllocatedIP	ConnectedDevice
LDBRR186	LB	NULL	10.44.186.250	NULL
LDBRR186	Fa0/1/1	550	10.44.186.82	PP01186
LDBRR186	Fa0/1/2	550	10.44.186.83	PP02186
LDBRR186	Fa0/1/3	550	10.44.186.84	PP03186
LDBRR186	Fa0/1/4	550	10.44.186.85	PP04186
LDBRR186	Fa0/1/5	550	10.44.186.90	PP11186
LDBRR186	T1	NULL	10.45.186.186	NULL
LDBRR186	T0	NULL	10.45.20.186	NULL
LDBRS050	fa0/22	730	10.44.50.228	WS02050
WS02060	eth0	730	10.44.60.228	LDBRS060
LDBRS060	fa0/22	730	10.44.60.228	WS02060
WS02063	eth0	730	10.44.63.228	LDBRS063
 LDBRS228	Gi1/0/5	20	10.44.228.6	 LDR05228
 LDBRS228	Gi1/0/6	20	10.44.228.7	 LDR06228
 LDBRS228	Gi1/0/7	20	10.44.228.8	 LDR07228
 LDBRS228	Gi1/0/8	20	10.44.228.9	 LDR08228
 LDS01228	eth0	20	10.44.228.18	 LDBRS228
LDBRR188	LB	NULL	10.44.188.250	NULL
LDBRR188	Fa0/1/1	550	10.44.188.82	PP01188
LDBRR188	Fa0/1/2	550	10.44.188.83	PP02188
LDBRR188	Fa0/1/3	550	10.44.188.84	PP03188
LDBRR188	Fa0/1/4	550	10.44.188.85	PP04188
LDBRR188	Fa0/1/5	550	10.44.188.90	PP11188
LDBRR188	T1	NULL	10.45.186.188	NULL
LDBRR188	T0	NULL	10.45.20.188	NULL
 RSA01228	ethM	20	10.44.228.19	 LDBRS228
LDBRR189	LB	NULL	10.44.189.250	NULL
LDBRR189	Fa0/1/1	550	10.44.189.82	PP01189
LDBRR189	Fa0/1/2	550	10.44.189.83	PP02189
LDBRR189	Fa0/1/3	550	10.44.189.84	PP03189
LDBRR189	Fa0/1/4	550	10.44.189.85	PP04189
LDBRR189	Fa0/1/5	550	10.44.189.90	PP11189
LDBRR189	T1	NULL	10.45.186.189	NULL
LDBRR189	T0	NULL	10.45.20.189	NULL
LDBRR191	LB	NULL	10.44.191.250	NULL
LDBRR191	Fa0/0/3   	550	10.44.191.82	PP01191
LDBRR191	Fa0/0/2	550	10.44.191.83	PP02191
LDBRR191	Fa0/0/1	550	10.44.191.90	PP11191
LDBRR191	T1	NULL	10.45.186.191	NULL
LDBRR191	T0	NULL	10.45.20.191	NULL
LDBRR192	LB	NULL	10.44.192.250	NULL
LDBRR192	Fa0/1/1   	550	10.44.192.82	PP01192
LDBRR192	Fa0/1/2	550	10.44.192.83	PP02192
LDBRR192	Fa0/1/3	550	10.44.192.84	PP03192
LDBRR192	Fa0/1/4	550	10.44.192.90	PP11192
LDBRR192	T1	NULL	10.45.186.192	NULL
